Language,Voicing and Gaps in Plosive Systems,Voicing in Plosives and Fricatives,Uvular Consonants,Presence of Uncommon Consonants,Lateral Consonants,Glottalized Consonants,"Consonant Inventories
", Vowel Quality Inventories,Front Rounded Vowels,Syllable Structure,Família,Gènere
Abipón,1,1,3,1,1,1,2,2,1,3,Guaicuruan,Abipon
Abkhaz,2,4,2,4,1,3,5,1,1,3,Northwest Caucasian,Northwest Caucasian
Aché,1,1,1,1,2,1,1,2,1,1,Maweti-Guarani,Tupian
Acoma,1,1,1,2,5,2,5,2,1,2,Keresan,Keresan
Aghem,4,4,1,3,1,1,3,3,1,2,Niger-Congo,Wide Grassfields
Ahtna,1,3,3,1,4,3,4,2,1,3,Na-Dene,Athapaskan
Aikaná,2,4,1,1,2,1,3,2,2,2,Aikaná,Aikaná
Ainu,1,1,1,1,5,1,1,2,1,2,Ainu,Ainu
Aizi,2,4,1,3,1,4,3,3,1,3,Niger-Congo,Kru
Akan,2,2,1,1,5,1,3,3,1,2,Niger-Congo,Tano
Akawaio,2,4,1,1,5,1,1,3,1,2,Cariban,Cariban
Alabama,1,2,1,1,3,1,1,1,1,3,Muskogean,Muskogean
Alawa,1,1,1,1,1,1,3,1,1,3,Mangarrayi-Maran,Mara
Albanian,2,4,1,2,1,1,3,3,3,3,Indo-European,Albanian
Aleut (Eastern),1,3,3,2,1,1,3,1,1,3,Eskimo-Aleut,Aleut
Alladian,2,4,1,3,1,1,3,3,1,2,Niger-Congo,Avikam-Alladian
Amele,4,2,1,3,1,1,2,2,1,2,Trans-New Guinea,Mabuso
Amharic,2,2,1,1,1,3,4,3,1,2,Afro-Asiatic,Semitic
Amo,2,4,1,3,1,1,3,3,1,2,Niger-Congo,Central Kainji
Amuesha,1,3,1,1,2,1,3,1,1,2,Arawakan,Yanesha'
Amuzgo,1,1,1,1,1,1,3,3,1,3,Oto-Manguean,Amuzgoan
Andoke,5,2,1,1,5,1,1,3,1,1,Andoke,Andoke
Angaataha,1,1,1,1,2,1,1,2,1,2,Trans-New Guinea,Angaataha
Angas,2,4,1,1,1,4,4,3,1,3,Afro-Asiatic,West Chadic
Ani,2,2,2,5,5,3,5,2,1,2,Khoe-Kwadi,Khoe-Kwadi
Ao,1,3,1,1,1,1,1,2,1,2,Sino-Tibetan,Central Naga
Apurina,1,1,1,1,5,1,1,2,1,1,Arawakan,Purus
Arabela,1,1,1,1,5,1,1,2,1,2,Zaparoan,Zaparoan
Arabic (Egyptian),4,4,3,4,1,1,4,2,1,3,Afro-Asiatic	,Semitic
Araona,5,4,1,1,1,1,3,1,1,1,Pano-Tacanan	,Tacanan
Arapesh (Mountain),2,2,1,1,1,1,2,3,1,2,Torricelli,Kombio-Arapesh	
Archi,1,4,3,4,3,3,5,2,1,3,Nakh-Daghestanian,Lezgic
Arrernte (Mparntwe),1,1,1,1,1,1,5,1,1,2,Pama-Nyungan	,Central Pama-Nyungan	
Asmat,1,1,1,1,5,1,1,2,1,2,Asmat-Kamrau Bay	,Asmat-Kamrau Bay	
Atayal,1,3,2,4,1,1,3,2,1,3,Austronesian,Atayalic
Avar,1,4,3,4,3,3,5,2,1,3,Nakh-Daghestanian	,Avar-Andic-Tsezic	
Awa Pit,1,3,1,1,3,1,1,1,1,2,Barbacoan,Barbacoan
Aymara (Central),1,1,3,1,1,3,4,1,1,2,South America	,Aymara
Azerbaijani,2,4,1,1,1,1,3,3,2,2,Altaic,Turkic
Bagirmi,2,2,1,1,1,4,4,3,1,2,Central Sudanic	,Bongo-Bagirmi	
Bai,1,3,1,1,1,1,2,3,1,2,Sino-Tibetan	,Macro-Bai	
